rank,gid,role,priority_score,why,cluster_id,is_seed
11,100000008346837100,coordinator,0.7997,"Координатор, кандидат в организаторы. Собирает от 9 плательщиков 254 359 ₸ и рассылает 25 получателям 1,26 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 1,51 млн ₸; мост между частями сети (посредничество выше, чем у 100% узлов); сквозной транзит за 2 дня, 4 плательщика в один день, возвратные потоки.",11,False
12,100000003115284100,consolidator,0.7888,"Точка консолидации. Получает от 8 плательщиков (из них seed: 2) 2,16 млн ₸; дальше отдаёт 24% (517 000 ₸). Признаки консолидации. Почему в топе: сюда ведут пути от 11 seed; оборот 2,68 млн ₸; сквозной транзит за 2 дня, 7 плательщиков в один день, возвратные потоки, повторяющийся маршрут.",10,False
13,100000005782781100,coordinator,0.7847,"Координатор, кандидат в организаторы. Собирает от 6 плательщиков 171 888 ₸ и рассылает 10 получателям 1,26 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 1,44 млн ₸; мост между частями сети (посредничество выше, чем у 91% узлов); сквозной транзит за 2 дня, 3 плательщика в один день, возвратные потоки.",8,False
14,100000007442518100,coordinator,0.7798,"Координатор, кандидат в организаторы. Собирает от 5 плательщиков 510 000 ₸ и рассылает 9 получателям 4,42 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 4,93 млн ₸; сквозной транзит за 2 дня, возвратные потоки.",31,False
15,100000003684369100,coordinator,0.7187,"Координатор, кандидат в организаторы. seed. Собирает от 24 плательщиков 3,85 млн ₸ и рассылает 62 получателям 8,59 млн ₸; сюда ведут пути от 9 seed. Признаки координации. Почему в топе: сюда ведут пути от 9 seed; оборот 12,44 млн ₸; мост между частями сети (посредничество выше, чем у 97% узлов); 6 плательщиков в один день, повторяющийся маршрут; seed уже в деле, приоритет снижен.",3,True
16,100000005933757100,distributor,0.7166,"Распределитель (веер). Рассылает 34 получателям 3,00 млн ₸, в среднем 88 313 ₸ на получателя; входящих плательщиков 4. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 4,25 млн ₸; мост между частями сети (посредничество выше, чем у 99% узлов); сквозной транзит за 2 дня, возвратные потоки, повторяющийся маршрут.",14,False
17,100000006889963100,consolidator,0.7139,"Точка консолидации. Получает от 4 плательщиков (из них seed: 2) 1,43 млн ₸; дальше отдаёт 31% (443 476 ₸). Признаки консолидации. Почему в топе: сюда ведут пути от 11 seed; оборот 1,87 млн ₸; сквозной транзит за 2 дня, 4 плательщика в один день, повторяющийся маршрут.",7,False
18,100000003016635100,coordinator,0.7051,"Координатор, кандидат в организаторы. seed. Собирает от 8 плательщиков 586 981 ₸ и рассылает 73 получателям 9,41 млн ₸; сюда ведут пути от 6 seed. Признаки координации. Почему в топе: оборот 10,00 млн ₸; мост между частями сети (посредничество выше, чем у 100% узлов); 3 плательщика в один день, возвратные потоки, повторяющийся маршрут; seed уже в деле, приоритет снижен.",4,True
19,100000004403675100,consolidator,0.6992,"Точка консолидации. Получает от 4 плательщиков (из них seed: 2) 182 980 ₸; отдаёт больше полученного в выборке (264 699 ₸): есть источники вне данных. Признаки консолидации. Почему в топе: мост между частями сети (посредничество выше, чем у 98% узлов); сквозной транзит за 2 дня, возвратные потоки, повторяющийся маршрут.",19,False
20,100000002957787100,distributor,0.6907,"Распределитель (веер). Рассылает 34 получателям 1,28 млн ₸, в среднем 37 534 ₸ на получателя; входящих плательщиков 4. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 1,36 млн ₸; мост между частями сети (посредничество выше, чем у 99% узлов); сквозной транзит за 2 дня, возвратные потоки, повторяющийся маршрут.",2,False
21,100000006866783100,coordinator,0.6905,"Координатор, кандидат в организаторы. seed. Собирает от 13 плательщиков 838 812 ₸ и рассылает 67 получателям 3,95 млн ₸; сюда ведут пути от 6 seed. Признаки координации. Почему в топе: оборот 4,79 млн ₸; мост между частями сети (посредничество выше, чем у 100% узлов); 5 плательщиков в один день, возвратные потоки, повторяющийся маршрут; seed уже в деле, приоритет снижен.",2,True
22,100000008730846100,consolidator,0.6893,"Точка консолидации. Получает от 7 плательщиков 155 042 ₸; отдаёт больше полученного в выборке (363 370 ₸): есть источники вне данных. Признаки консолидации. Почему в топе: сюда ведут пути от 8 seed; сквозной транзит за 2 дня, 4 плательщика в один день, повторяющийся маршрут.",10,False
23,100000002741024100,coordinator,0.6858,"Координатор, кандидат в организаторы. Собирает от 5 плательщиков 817 981 ₸ и рассылает 6 получателям 434 989 ₸; сюда ведут пути от 7 seed. Признаки координации. Почему в топе: оборот 1,25 млн ₸.",6,False
24,100000008710791100,distributor,0.6833,"Распределитель (веер). Рассылает 23 получателям 5,52 млн ₸, в среднем 240 066 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: сюда ведут пути от 9 seed; оборот 5,70 млн ₸; сквозной транзит за 2 дня.",5,False
25,100000000661912100,consolidator,0.6832,"Точка консолидации. Получает от 5 плательщиков (из них seed: 1) 393 036 ₸; дальше отдаёт 110% (430 700 ₸). Признаки консолидации. Почему в топе: мост между частями сети (посредничество выше, чем у 95% узлов); сквозной транзит за 2 дня, повторяющийся маршрут.",2,False
26,100000003242289100,distributor,0.6753,"Распределитель (веер). Рассылает 23 получателям 2,38 млн ₸, в среднем 103 380 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 2,93 млн ₸; мост между частями сети (посредничество выше, чем у 94% узлов); возвратные потоки, повторяющийся маршрут.",16,False
27,100000007908818100,consolidator,0.6728,"Точка консолидации. Получает от 4 плательщиков (из них seed: 2) 727 475 ₸; дальше отдаёт 42% (302 000 ₸). Признаки консолидации. Почему в топе: сюда ведут пути от 11 seed; оборот 1,03 млн ₸.",3,False
28,100000008489922100,distributor,0.6699,"Распределитель (веер). Рассылает 36 получателям 3,79 млн ₸, в среднем 105 275 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: сюда ведут пути от 8 seed; оборот 4,05 млн ₸; мост между частями сети (посредничество выше, чем у 93% узлов); возвратные потоки.",5,False
29,100000005704413100,distributor,0.6659,"Распределитель (веер). Рассылает 32 получателям 1,36 млн ₸, в среднем 42 612 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: оборот 1,46 млн ₸; мост между частями сети (посредничество выше, чем у 98% узлов); возвратные потоки, повторяющийся маршрут.",9,False
30,100000008517538100,distributor,0.6619,"Распределитель (веер). Рассылает 17 получателям 1,44 млн ₸, в среднем 84 647 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных. Почему в топе: сюда ведут пути от 8 seed; оборот 1,59 млн ₸; сквозной транзит за 2 дня, повторяющийся маршрут.",5,False
