gid,role,role_score,cluster_id,priority_score,evidence,role_label,rank,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pass_through,seed_payers,seeds_upstream,from_consolidators,betweenness,fast_out_share,max_payers_same_day,n_cycles,n_mutual,route_hits,forward_prob,flags,rule
100000008346837100,coordinator,0.7,11,0.7997,"Собирает от 9 плательщиков 254 359 ₸ и рассылает 25 получателям 1,26 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных.","Координатор, кандидат в организаторы",11,2,False,9,25,254359.0,1258643.0,12,26,4.9483,0,7,0,0.009,0.8516,4,109,2,0,,fast_transit;sync_inflow;cycle;mutual_transfers,hub
100000003115284100,consolidator,0.65,10,0.7888,"Получает от 8 плательщиков (из них seed: 2) 2,16 млн ₸; дальше отдаёт 24% (517 000 ₸). Признаки консолидации.",Точка консолидации,12,1,False,8,2,2160500.0,517000.0,15,4,0.2393,2,11,1,0.0001,0.9865,7,1,1,4,,fast_transit;sync_inflow;cycle;mutual_transfers;recurring_route,fan_in
100000005782781100,coordinator,0.55,8,0.7847,"Собирает от 6 плательщиков 171 888 ₸ и рассылает 10 получателям 1,26 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных.","Координатор, кандидат в организаторы",13,2,False,6,10,171888.0,1263597.0,10,10,7.3513,0,7,0,0.0006,1.0,3,23,0,0,,fast_transit;sync_inflow;cycle,hub
100000007442518100,coordinator,0.5,31,0.7798,"Собирает от 5 плательщиков 510 000 ₸ и рассылает 9 получателям 4,42 млн ₸; сюда ведут пути от 7 seed. Признаки координации. Отдаёт больше, чем получил в выборке: есть источники вне данных.","Координатор, кандидат в организаторы",14,1,False,5,9,510000.0,4419999.0,8,12,8.6667,1,7,0,0.0003,0.8993,1,1,0,0,,fast_transit;cycle,hub
100000003684369100,coordinator,1.0,3,0.7187,"seed. Собирает от 24 плательщиков 3,85 млн ₸ и рассылает 62 получателям 8,59 млн ₸; сюда ведут пути от 9 seed. Признаки координации.","Координатор, кандидат в организаторы",15,0,True,24,62,3848436.0,8588655.0,58,67,2.2317,1,9,0,0.0023,1.0,6,0,1,302,,seed;sync_inflow;mutual_transfers;recurring_route,hub
100000005933757100,distributor,0.74,14,0.7166,"Рассылает 34 получателям 3,00 млн ₸, в среднем 88 313 ₸ на получателя; входящих плательщиков 4. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),16,2,False,4,34,1246000.0,3002628.0,6,46,2.4098,0,7,0,0.0039,0.6113,2,1,2,4,,fast_transit;cycle;mutual_transfers;recurring_route,fan_out
100000006889963100,consolidator,0.6,7,0.7139,"Получает от 4 плательщиков (из них seed: 2) 1,43 млн ₸; дальше отдаёт 31% (443 476 ₸). Признаки консолидации.",Точка консолидации,17,1,False,4,1,1431000.0,443475.8,6,3,0.3099,2,11,0,0.0,1.0,4,0,0,2,,fast_transit;sync_inflow;recurring_route,fan_in_seed
100000003016635100,coordinator,0.65,4,0.7051,"seed. Собирает от 8 плательщиков 586 981 ₸ и рассылает 73 получателям 9,41 млн ₸; сюда ведут пути от 6 seed. Признаки координации.","Координатор, кандидат в организаторы",18,0,True,8,73,586981.0,9414081.0,36,151,16.0381,0,6,0,0.0072,0.9351,3,13,6,221,,seed;sync_inflow;cycle;mutual_transfers;recurring_route,hub
100000004403675100,consolidator,0.6,19,0.6992,Получает от 4 плательщиков (из них seed: 2) 182 980 ₸; отдаёт больше полученного в выборке (264 699 ₸): есть источники вне данных. Признаки консолидации.,Точка консолидации,19,1,False,4,5,182980.0,264699.0,8,6,1.4466,2,7,0,0.0028,0.5402,1,9,1,5,,fast_transit;cycle;mutual_transfers;recurring_route,fan_in_seed
100000002957787100,distributor,0.74,2,0.6907,"Рассылает 34 получателям 1,28 млн ₸, в среднем 37 534 ₸ на получателя; входящих плательщиков 4. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),20,2,False,4,34,84956.0,1276153.96,7,41,15.0214,0,7,0,0.0043,0.7551,2,83,1,26,,fast_transit;cycle;mutual_transfers;recurring_route,fan_out
100000006866783100,coordinator,0.9,2,0.6905,"seed. Собирает от 13 плательщиков 838 812 ₸ и рассылает 67 получателям 3,95 млн ₸; сюда ведут пути от 6 seed. Признаки координации.","Координатор, кандидат в организаторы",21,0,True,13,67,838812.0,3948037.0,31,90,4.7067,0,6,0,0.006,1.0,5,878,8,115,,seed;sync_inflow;cycle;mutual_transfers;recurring_route,hub
100000008730846100,consolidator,0.6,10,0.6893,Получает от 7 плательщиков 155 042 ₸; отдаёт больше полученного в выборке (363 370 ₸): есть источники вне данных. Признаки консолидации.,Точка консолидации,22,2,False,7,3,155042.0,363370.0,11,4,2.3437,0,8,0,0.0001,1.0,4,0,0,6,,fast_transit;sync_inflow;recurring_route,fan_in
100000002741024100,coordinator,0.5,6,0.6858,Собирает от 5 плательщиков 817 981 ₸ и рассылает 6 получателям 434 989 ₸; сюда ведут пути от 7 seed. Признаки координации.,"Координатор, кандидат в организаторы",23,2,False,5,6,817980.85,434989.0,9,7,0.5318,0,7,0,0.0001,0.0648,1,0,3,0,,mutual_transfers,hub
100000008710791100,distributor,0.63,5,0.6833,"Рассылает 23 получателям 5,52 млн ₸, в среднем 240 066 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),24,2,False,3,23,181510.0,5521511.0,3,25,30.4199,0,9,0,0.0003,0.7007,1,0,0,0,,fast_transit,fan_out
100000000661912100,consolidator,0.5,2,0.6832,Получает от 5 плательщиков (из них seed: 1) 393 036 ₸; дальше отдаёт 110% (430 700 ₸). Признаки консолидации.,Точка консолидации,25,1,False,5,2,393036.0,430700.0,9,8,1.0958,1,7,0,0.0013,0.7516,2,0,1,2,,fast_transit;mutual_transfers;recurring_route,fan_in
100000003242289100,distributor,0.63,16,0.6753,"Рассылает 23 получателям 2,38 млн ₸, в среднем 103 380 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),26,2,False,3,23,550791.0,2377741.0,8,26,4.317,0,7,0,0.001,0.3309,2,103,1,8,,cycle;mutual_transfers;recurring_route,fan_out
100000007908818100,consolidator,0.6,3,0.6728,Получает от 4 плательщиков (из них seed: 2) 727 475 ₸; дальше отдаёт 42% (302 000 ₸). Признаки консолидации.,Точка консолидации,27,1,False,4,6,727475.0,302000.0,4,13,0.4151,2,11,0,0.0002,0.0497,2,0,0,0,,,fan_in_seed
100000008489922100,distributor,0.76,5,0.6699,"Рассылает 36 получателям 3,79 млн ₸, в среднем 105 275 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),28,3,False,3,36,262010.0,3789900.0,5,41,14.4647,0,8,0,0.0009,0.2691,2,5,1,0,,cycle;mutual_transfers,fan_out
100000005704413100,distributor,0.72,9,0.6659,"Рассылает 32 получателям 1,36 млн ₸, в среднем 42 612 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),29,3,False,3,32,97834.67,1363593.0,4,35,13.9377,0,7,0,0.0026,0.4452,2,2,1,16,,cycle;mutual_transfers;recurring_route,fan_out
100000008517538100,distributor,0.57,5,0.6619,"Рассылает 17 получателям 1,44 млн ₸, в среднем 84 647 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),30,3,False,3,17,155500.0,1439000.0,6,18,9.254,0,8,0,0.0002,0.5921,1,0,0,7,,fast_transit;recurring_route,fan_out
100000008547844100,distributor,0.59,5,0.6603,"Рассылает 19 получателям 2,04 млн ₸, в среднем 107 484 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,2,False,3,19,177600.0,2042199.0,3,21,11.4989,0,8,0,0.0018,0.4073,1,7,1,0,,cycle;mutual_transfers,fan_out
100000008710843100,distributor,0.53,21,0.6566,"Рассылает 13 получателям 1,99 млн ₸, в среднем 152 731 ₸ на получателя; входящих плательщиков 2. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,2,False,2,13,33944.0,1985500.0,3,14,58.4934,0,8,0,0.0012,0.0076,1,4,0,0,,cycle,fan_out
100000003880331100,distributor,0.56,6,0.6543,"Рассылает 16 получателям 3,90 млн ₸, в среднем 244 057 ₸ на получателя; входящих плательщиков 1. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,3,False,1,16,100000.0,3904908.0,1,31,39.0491,0,7,0,0.0007,0.4467,1,20,1,0,,cycle;mutual_transfers,fan_out
100000008111003100,consolidator,0.55,3,0.6535,Получает от 6 плательщиков 222 716 ₸; дальше отдаёт 16% (35 000 ₸). Признаки консолидации.,Точка консолидации,,2,False,6,1,222716.0,35000.0,9,1,0.1572,0,7,0,0.0009,1.0,2,103,1,0,,fast_transit;cycle;mutual_transfers,fan_in
100000004299488100,consolidator,0.55,2,0.653,"Получает от 6 плательщиков (из них seed: 1) 1,75 млн ₸; дальше отдаёт 20% (344 999 ₸). Признаки консолидации.",Точка консолидации,,1,False,6,2,1749000.0,344999.0,22,14,0.1973,1,7,1,0.0,0.942,3,0,1,9,,fast_transit;sync_inflow;mutual_transfers;recurring_route,fan_in
100000008465789100,distributor,0.56,5,0.6521,"Рассылает 16 получателям 1,86 млн ₸, в среднем 116 131 ₸ на получателя; входящих плательщиков 1. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,3,False,1,16,30099.0,1858100.0,1,17,61.7329,0,8,0,0.0008,0.478,1,6,0,0,,cycle,fan_out
100000008466579100,distributor,0.57,5,0.6498,"Рассылает 17 получателям 1,93 млн ₸, в среднем 113 706 ₸ на получателя; входящих плательщиков 2. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,2,False,2,17,36952.0,1933000.0,2,20,52.3111,0,8,0,0.0005,0.0647,1,4,0,0,,cycle,fan_out
100000004070318100,distributor,0.59,2,0.649,"Рассылает 19 получателям 551 860 ₸, в среднем 29 045 ₸ на получателя; входящих плательщиков 4. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,1,False,4,19,207246.55,551860.0,6,37,2.6628,1,7,0,0.0021,0.5406,2,461,2,0,,fast_transit;cycle;mutual_transfers,fan_out
100000005910114100,distributor,0.59,6,0.6479,"Рассылает 19 получателям 1,47 млн ₸, в среднем 77 368 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,3,False,3,19,326144.0,1469993.0,3,56,4.5072,0,7,0,0.0058,0.4222,1,255,0,0,,cycle,fan_out
100000008512827100,distributor,0.5,13,0.6478,"Рассылает 10 получателям 1,94 млн ₸, в среднем 194 450 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,2,False,3,10,107949.0,1944500.0,3,10,18.0131,0,9,0,0.0001,0.7987,1,0,0,0,,fast_transit,fan_out
100000003854444100,distributor,0.54,17,0.6472,"Рассылает 14 получателям 2,32 млн ₸, в среднем 165 922 ₸ на получателя; входящих плательщиков 1. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,2,False,1,14,210000.0,2322909.0,4,14,11.0615,0,7,0,0.0011,0.7448,1,0,0,0,,fast_transit,fan_out
100000004015047100,consolidator,0.7,8,0.6461,Получает от 9 плательщиков (из них seed: 3) 919 104 ₸; дальше отдаёт 8% (69 195 ₸). Признаки консолидации.,Точка консолидации,,1,False,9,1,919104.0,69195.0,18,7,0.0753,3,11,1,0.0,0.6363,2,0,1,0,,fast_transit;mutual_transfers,fan_in
100000004351795100,distributor,0.54,2,0.6451,"Рассылает 14 получателям 1,72 млн ₸, в среднем 122 512 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,1,False,3,14,118333.0,1715161.0,3,37,14.4944,1,7,0,0.0024,0.3791,1,205,1,0,,cycle;mutual_transfers,fan_out
100000003265158100,consolidator,0.6,12,0.6426,Получает от 3 плательщиков (из них seed: 2) 146 100 ₸; дальше отдаёт 106% (154 200 ₸). Признаки консолидации.,Точка консолидации,,1,False,3,2,146100.4,154200.0,3,4,1.0554,2,9,0,0.0002,1.0,1,0,0,0,,fast_transit,fan_in_seed
100000008304139100,distributor,0.64,3,0.6419,"Рассылает 24 получателям 1,69 млн ₸, в среднем 70 542 ₸ на получателя; входящих плательщиков 4. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,1,False,4,24,189329.75,1692997.0,4,43,8.9421,1,7,0,0.0013,0.2819,1,289,1,0,,cycle;mutual_transfers,fan_out
100000000332284100,consolidator,0.75,7,0.6371,Получает от 10 плательщиков 107 426 ₸; отдаёт больше полученного в выборке (289 500 ₸): есть источники вне данных. Признаки консолидации.,Точка консолидации,,2,False,10,3,107426.0,289500.0,12,3,2.6949,0,7,0,0.0001,1.0,3,0,0,0,,fast_transit;sync_inflow,fan_in
100000004150593100,distributor,0.51,4,0.6351,"Рассылает 11 получателям 871 165 ₸, в среднем 79 197 ₸ на получателя; входящих плательщиков 1. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,2,False,1,11,57000.0,871165.0,2,16,15.2836,0,7,0,0.0002,0.8159,1,4,0,0,,fast_transit;cycle,fan_out
100000008743913100,distributor,0.53,21,0.6335,"Рассылает 13 получателям 1,85 млн ₸, в среднем 142 354 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,2,False,3,13,149300.0,1850600.0,3,13,12.3952,0,9,0,0.0003,0.448,2,0,0,0,,,fan_out
100000007594394100,consolidator,0.55,17,0.6315,"Получает от 6 плательщиков 395 385 ₸; отдаёт больше полученного в выборке (3,38 млн ₸): есть источники вне данных. Признаки консолидации.",Точка консолидации,,2,False,6,1,395385.0,3376312.0,6,40,8.5393,0,9,0,0.0,0.4527,2,0,1,0,,mutual_transfers,fan_in
100000002723538100,distributor,0.52,6,0.6305,"Рассылает 12 получателям 560 499 ₸, в среднем 46 708 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,2,False,3,12,105647.0,560499.0,3,14,5.3054,0,7,0,0.0003,0.5698,1,60,1,0,,fast_transit;cycle;mutual_transfers,fan_out
100000007639767100,distributor,0.5,6,0.6295,"Рассылает 10 получателям 822 244 ₸, в среднем 82 224 ₸ на получателя; входящих плательщиков 4. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,1,False,4,10,90913.0,822244.0,4,13,9.0443,1,7,0,0.0025,0.0952,1,587,3,0,,cycle;mutual_transfers,fan_out
100000008413748100,distributor,0.58,16,0.6294,"Рассылает 18 получателям 1,38 млн ₸, в среднем 76 518 ₸ на получателя; входящих плательщиков 2. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,2,False,2,18,26480.0,1377320.22,2,21,52.0136,0,7,0,0.0006,0.3328,2,85,0,0,,cycle,fan_out
100000000343175100,coordinator,0.65,10,0.6282,"seed. Собирает от 8 плательщиков 178 712 ₸ и рассылает 31 получателю 4,00 млн ₸; сюда ведут пути от 7 seed. Признаки координации.","Координатор, кандидат в организаторы",,0,True,8,31,178712.0,4000039.0,14,33,22.3826,1,7,0,0.0011,1.0,2,0,0,0,,seed,hub
100000003796063100,distributor,0.55,7,0.6267,"Рассылает 15 получателям 959 150 ₸, в среднем 63 943 ₸ на получателя; входящих плательщиков 1. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,3,False,1,15,35000.0,959150.0,1,23,27.4043,0,7,1,0.0012,0.0735,1,103,1,0,,cycle;mutual_transfers,fan_out
100000004759121100,consolidator,0.55,2,0.6263,Получает от 6 плательщиков (из них seed: 1) 710 000 ₸; дальше отдаёт 44% (312 000 ₸). Признаки консолидации.,Точка консолидации,,1,False,6,2,710000.0,312000.0,10,6,0.4394,1,7,0,0.0001,0.5192,1,0,1,0,,fast_transit;mutual_transfers,fan_in
100000005578559100,distributor,0.61,9,0.6257,"Рассылает 21 получателю 893 164 ₸, в среднем 42 532 ₸ на получателя; входящих плательщиков 2. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,2,False,2,21,131000.0,893163.6699999999,2,23,6.818,0,7,0,0.001,0.455,1,1,0,0,,cycle,fan_out
100000007055802100,consolidator,0.55,2,0.6195,"Получает от 6 плательщиков (из них seed: 1) 2,02 млн ₸; дальше отдаёт 30% (605 000 ₸). Признаки консолидации.",Точка консолидации,,1,False,6,1,2024999.0,605000.0,34,7,0.2988,1,7,1,0.0,1.0,4,0,1,13,,fast_transit;sync_inflow;mutual_transfers;recurring_route,fan_in
100000002398779100,consolidator,0.9,2,0.6182,"Получает от 13 плательщиков 1,10 млн ₸; дальше отдаёт 6% (66 000 ₸). Признаки консолидации.",Точка консолидации,,2,False,13,1,1095690.0,66000.0,28,3,0.0602,0,8,1,0.0,1.0,7,0,0,6,,fast_transit;sync_inflow;recurring_route,fan_in
100000004847758100,distributor,0.55,3,0.6163,"Рассылает 15 получателям 488 800 ₸, в среднем 32 587 ₸ на получателя; входящих плательщиков 4. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,1,False,4,15,115171.0,488800.0,4,23,4.2441,1,7,0,0.0014,0.2578,1,70,1,0,,cycle;mutual_transfers,fan_out
100000003747133100,consolidator,0.5,48,0.6143,Получает от 5 плательщиков 237 068 ₸; дальше отдаёт 105% (250 000 ₸). Признаки консолидации.,Точка консолидации,,2,False,5,2,237068.0,250000.0,8,2,1.0545,0,7,0,0.0001,0.92,2,0,0,0,,fast_transit,fan_in
100000008742053100,distributor,0.52,13,0.6136,"Рассылает 12 получателям 2,79 млн ₸, в среднем 232 417 ₸ на получателя; входящих плательщиков 1. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,3,False,1,12,10000.0,2789000.0,1,12,278.9,0,8,0,0.0001,,1,0,0,0,,,fan_out
100000001530983100,distributor,0.51,4,0.6129,"Рассылает 11 получателям 1,83 млн ₸, в среднем 166 322 ₸ на получателя; входящих плательщиков 4. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,1,False,4,11,564158.0,1829538.0,4,17,3.243,2,7,0,0.0003,0.1565,1,0,0,0,,,fan_out
100000008546855100,consolidator,0.55,17,0.6119,Получает от 6 плательщиков 71 790 ₸; дальше отдаёт 14% (10 000 ₸). Признаки консолидации.,Точка консолидации,,2,False,6,2,71790.0,10000.0,8,2,0.1393,0,7,0,0.0001,1.0,5,0,2,4,,fast_transit;sync_inflow;mutual_transfers;recurring_route,fan_in
100000006734214100,consolidator,0.5,7,0.6105,Получает от 5 плательщиков 610 000 ₸; дальше отдаёт 6% (36 000 ₸). Признаки консолидации.,Точка консолидации,,3,False,5,3,610000.0,36000.0,10,4,0.059,0,7,1,0.0001,0.7222,2,0,0,0,,fast_transit,fan_in
100000008637537100,consolidator,0.6,41,0.5974,"seed. Получает от 3 плательщиков (из них seed: 2) 619 890 ₸; дальше отдаёт 2,35 млн ₸ 3 получателям. Признаки консолидации.",Точка консолидации,,0,True,3,3,619890.0,2351495.0,22,30,3.7934,2,9,0,0.0001,1.0,2,2,2,8,,seed;cycle;mutual_transfers;recurring_route,fan_in_seed
100000002224132100,consolidator,0.5,24,0.5969,"Получает от 5 плательщиков 3,95 млн ₸; отдаёт больше полученного в выборке (12,12 млн ₸): есть источники вне данных. Признаки консолидации.",Точка консолидации,,2,False,5,4,3951020.0,12115000.0,10,25,3.0663,0,2,0,0.0,0.7268,2,5,3,4,,fast_transit;cycle;mutual_transfers;recurring_route,fan_in
100000008746449100,distributor,0.5,5,0.5969,"Рассылает 10 получателям 1,01 млн ₸, в среднем 100 900 ₸ на получателя; входящих плательщиков 1. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,3,False,1,10,10000.0,1009000.0,1,10,100.9,0,8,0,0.0002,,1,0,0,0,,,fan_out
100000004071080100,consolidator,0.7,2,0.5932,Получает от 9 плательщиков (из них seed: 1) 238 600 ₸; дальше отдаёт 19% (46 500 ₸). Признаки консолидации.,Точка консолидации,,1,False,9,2,238600.0,46500.0,16,5,0.1949,1,7,0,0.0,0.871,2,0,1,4,,fast_transit;mutual_transfers;recurring_route,fan_in
100000004140487100,distributor,0.5,3,0.5887,"Рассылает 10 получателям 262 600 ₸, в среднем 26 260 ₸ на получателя; входящих плательщиков 1. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,3,False,1,10,24510.0,262600.0,1,19,10.714,0,7,0,0.0003,0.2959,1,35,0,0,,cycle,fan_out
100000002578405100,distributor,1.0,1,0.5869,"Рассылает 116 получателям 3,11 млн ₸, в среднем 26 796 ₸ на получателя; входящих плательщиков 2. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,2,False,2,116,1200351.0,3108352.0,7,120,2.5895,0,1,0,0.0002,0.6693,1,0,2,2,,fast_transit;mutual_transfers;recurring_route,fan_out
100000007593823100,distributor,0.53,2,0.5847,"Рассылает 13 получателям 162 900 ₸, в среднем 12 531 ₸ на получателя; входящих плательщиков 3. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,3,False,3,13,25000.0,162900.0,3,21,6.516,0,7,0,0.0007,0.4009,1,49,1,0,,cycle;mutual_transfers,fan_out
100000000089154100,distributor,0.55,3,0.579,"Рассылает 15 получателям 425 500 ₸, в среднем 28 367 ₸ на получателя; входящих плательщиков 1. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,1,False,1,15,10000.0,425500.0,1,21,42.55,1,7,0,0.0001,0.2738,1,56,1,0,,cycle;mutual_transfers,fan_out
100000008748914100,distributor,0.53,3,0.5772,"Рассылает 13 получателям 4,47 млн ₸, в среднем 343 988 ₸ на получателя; входящих плательщиков 2. Признаки веерного распределения. Отдаёт больше, чем получил в выборке: есть источники вне данных.",Распределитель (веер),,1,False,2,13,180000.0,4471847.0,9,21,24.8436,1,1,0,0.0006,0.4959,1,0,1,13,,mutual_transfers;recurring_route,fan_out
