a,b,c,times,sum_in_kzt,sum_out_kzt
100000003988112100,100000004403675100,100000005668605100,3,64000.0,105000.0
100000008304139100,100000006866783100,100000000555721100,3,89000.0,105000.0
100000005910114100,100000006866783100,100000008560717100,3,127379.0,100000.0
100000008213966100,100000000838385100,100000000470237100,3,194600.0,97500.0
100000005287097100,100000003016635100,100000005505655100,3,177500.0,91490.0
100000005287097100,100000003016635100,100000008003034100,3,177500.0,85407.0
100000000437046100,100000008686313100,100000008603629100,3,497875.0,84000.0
100000008304139100,100000003684369100,100000007129492100,3,163000.0,75000.0
100000005287097100,100000003016635100,100000008724279100,3,32000.0,70500.0
100000005287097100,100000003016635100,100000003163256100,3,143200.0,67425.0
100000005287097100,100000003016635100,100000003134937100,3,33900.0,61716.0
100000005287097100,100000003016635100,100000002938501100,3,177500.0,58765.0
100000008304139100,100000006866783100,100000000961900100,3,70000.0,57000.0
100000008489922100,100000008517538100,100000008710913100,3,70500.0,56000.0
100000008304139100,100000006866783100,100000008560717100,3,89000.0,55000.0
100000005287097100,100000003016635100,100000001049200100,3,187000.0,36084.0
100000008258083100,100000000673868100,100000003173783100,3,921300.0,32000.0
100000004723755100,100000008748914100,100000004592467100,3,80000.0,28000.0
100000005339662100,100000004820260100,100000005996909100,3,73800.0,22000.0
100000008748914100,100000003684369100,100000001527186100,2,1832000.0,3390000.0
100000008304139100,100000003684369100,100000001527186100,2,378000.0,2712000.0
100000004358004100,100000003684369100,100000001072022100,2,266000.0,2220000.0
100000003880331100,100000003684369100,100000001527186100,2,564000.0,2034000.0
100000004358004100,100000003684369100,100000001527186100,2,296000.0,2034000.0
100000008304139100,100000003684369100,100000002188829100,2,195000.0,2000000.0
100000008748914100,100000003684369100,100000003131693100,2,916000.0,1766385.0
100000003835149100,100000001965374100,100000004399686100,2,264080.0,1612000.0
100000008748914100,100000003684369100,100000002188829100,2,574700.0,1600000.0
100000003880331100,100000008603629100,100000001857829100,2,398000.0,1596000.0
100000004077081100,100000003684369100,100000001072022100,2,220000.0,1480000.0
100000008748914100,100000003684369100,100000002565277100,2,552700.0,1449957.0
100000008304139100,100000003684369100,100000003131693100,2,189000.0,1413108.0
100000003528285100,100000003684369100,100000001527186100,2,246000.0,1356000.0
100000004077081100,100000003684369100,100000001527186100,2,220000.0,1356000.0
100000004358004100,100000003684369100,100000002188829100,2,133000.0,1200000.0
100000008571433100,100000004135268100,100000004979498100,2,1264000.0,1200000.0
100000003796063100,100000000331309100,100000001330685100,2,466400.0,1129940.0
100000003880331100,100000003684369100,100000003131693100,2,282000.0,1059831.0
100000004358004100,100000003684369100,100000003131693100,2,148000.0,1059831.0
100000007018630100,100000002371751100,100000000769919100,2,170000.0,1000000.0
100000008304139100,100000003684369100,100000003299365100,2,195000.0,1000000.0
100000008632060100,100000000437046100,100000008686313100,2,135000.0,981479.0
100000008748914100,100000003684369100,100000005074393100,2,916000.0,969465.0
100000008748914100,100000003684369100,100000002957306100,2,916000.0,944950.0
100000003880331100,100000003684369100,100000002988894100,2,282000.0,918363.0
100000008304139100,100000003684369100,100000002988894100,2,196000.0,918363.0
100000008748914100,100000003684369100,100000004226848100,2,596000.0,905598.0
100000000343175100,100000003115284100,100000003360542100,2,622000.0,900000.0
100000004390333100,100000000437046100,100000008730371100,2,150000.0,900000.0
100000003684369100,100000006889963100,100000006755850100,2,933000.0,886951.6000000001
100000008748914100,100000003684369100,100000002621949100,2,916000.0,823060.0
100000004351795100,100000000437046100,100000004184158100,2,172000.0,815220.0
100000004390333100,100000000437046100,100000003795588100,2,200000.0,800000.0
100000008748914100,100000003684369100,100000003299365100,2,574700.0,800000.0
100000003888271100,100000000580561100,100000007939160100,2,18680.0,795000.0
100000008304139100,100000003684369100,100000005074393100,2,189000.0,775572.0
100000008304139100,100000003684369100,100000002957306100,2,189000.0,755960.0
100000003528285100,100000003684369100,100000003131693100,2,123000.0,706554.0
100000004077081100,100000003684369100,100000003131693100,2,110000.0,706554.0
100000008748914100,100000003684369100,100000003205210100,2,916000.0,687815.0
100000005287097100,100000003016635100,100000008169544100,2,53000.0,685520.0
100000004070318100,100000006866783100,100000004299488100,2,230000.0,681000.0
100000005287097100,100000004156082100,100000000795129100,2,50500.0,664000.0
100000008304139100,100000003684369100,100000002621949100,2,189000.0,658448.0
100000003004487100,100000002175422100,100000003557488100,2,40000.0,654992.0
100000003977183100,100000003923946100,100000002836736100,2,120000.0,632000.0
100000003796063100,100000000331309100,100000007055802100,2,447600.0,630000.0
100000004847758100,100000003684369100,100000006889963100,2,82000.0,622000.0
100000003528285100,100000003684369100,100000002988894100,2,123000.0,612242.0
100000004070318100,100000006866783100,100000008686313100,2,170000.0,606923.0
100000000343175100,100000003115284100,100000003390036100,2,622000.0,600000.0
100000004351795100,100000000437046100,100000003115284100,2,113000.0,600000.0
100000004351795100,100000000437046100,100000008730371100,2,150500.0,600000.0
100000004358004100,100000003684369100,100000003299365100,2,133000.0,600000.0
100000004070318100,100000006866783100,100000002603769100,2,85000.0,599872.0
100000003880331100,100000003684369100,100000005074393100,2,282000.0,581679.0
100000004358004100,100000003684369100,100000005074393100,2,148000.0,581679.0
100000005910114100,100000008603629100,100000001373265100,2,98838.0,569928.0
100000005268319100,100000002957787100,100000002736316100,2,24000.0,569070.0
100000003880331100,100000003684369100,100000002957306100,2,282000.0,566970.0
100000004358004100,100000003684369100,100000002957306100,2,148000.0,566970.0
100000008304139100,100000003684369100,100000003205210100,2,189000.0,550252.0
100000005910114100,100000008603629100,100000007442518100,2,197676.0,536000.0
100000008304139100,100000003684369100,100000000998559100,2,195000.0,500000.0
100000008304139100,100000003684369100,100000005432267100,2,142000.0,500000.0
100000003880331100,100000003684369100,100000002621949100,2,282000.0,493836.0
100000004358004100,100000003684369100,100000002621949100,2,148000.0,493836.0
100000008547844100,100000008547948100,100000002718366100,2,61000.0,480000.0
100000004847758100,100000003684369100,100000007908818100,2,41000.0,470200.0
100000004358004100,100000008165763100,100000006564102100,2,120000.0,466470.0
100000008304139100,100000003684369100,100000008747113100,2,195000.0,462955.0
100000004847758100,100000003684369100,100000002480800100,2,41000.0,460000.0
100000004400305100,100000007055802100,100000004299488100,2,115000.0,425000.0
100000003880331100,100000003684369100,100000003205210100,2,282000.0,412689.0
100000004358004100,100000003684369100,100000003205210100,2,148000.0,412689.0
100000005910114100,100000006866783100,100000005584222100,2,227286.0,408651.0
100000001049200100,100000004156082100,100000001184915100,2,42000.0,402000.0
100000003977183100,100000003923946100,100000001411870100,2,120000.0,400000.0
100000004390333100,100000000437046100,100000003834495100,2,100000.0,400000.0
100000008748914100,100000003684369100,100000000998559100,2,574700.0,400000.0
100000003796063100,100000008477350100,100000008086440100,2,96000.0,399466.0
100000003528285100,100000003684369100,100000005074393100,2,123000.0,387786.0
100000004077081100,100000003684369100,100000005074393100,2,110000.0,387786.0
100000004847758100,100000003684369100,100000003115284100,2,72000.0,386000.0
100000005910114100,100000002957787100,100000002736316100,2,45856.0,379380.0
100000003528285100,100000003684369100,100000002957306100,2,123000.0,377980.0
100000004077081100,100000003684369100,100000002957306100,2,110000.0,377980.0
100000005910114100,100000008603629100,100000008279405100,2,98838.0,377468.0
100000008748914100,100000003684369100,100000003022835100,2,552700.0,375000.0
100000008304139100,100000008603629100,100000002936322100,2,87000.0,374334.0
100000008748914100,100000003684369100,100000008747113100,2,574700.0,370364.0
100000000331309100,100000004299488100,100000007055802100,2,1600000.0,362000.0
100000004358004100,100000003684369100,100000003946524100,2,133000.0,341271.0
100000005910114100,100000006866783100,100000004299488100,2,175415.0,337000.0
100000000331309100,100000008324800100,100000007390016100,2,260000.0,336000.0
100000005287097100,100000004156082100,100000004993576100,2,50500.0,334000.0
100000003528285100,100000003684369100,100000002621949100,2,123000.0,329224.0
100000004077081100,100000003684369100,100000002621949100,2,110000.0,329224.0
100000008304139100,100000003684369100,100000007181706100,2,142000.0,327544.0
100000005910114100,100000008603629100,100000004679953100,2,77718.0,327534.0
100000003880331100,100000008603629100,100000004217419100,2,398000.0,320000.0
100000008304139100,100000003684369100,100000000041368100,2,142000.0,320000.0
100000002731501100,100000004160650100,100000004007116100,2,120000.0,319544.0
100000001697501100,100000002733905100,100000005342513100,2,40000.0,315000.0
100000008710791100,100000008561016100,100000001724740100,2,520000.0,315000.0
100000003796063100,100000008477350100,100000005610717100,2,96000.0,312800.0
100000000331309100,100000007055802100,100000004299488100,2,1170000.0,304000.0
100000002224132100,100000004603109100,100000004892144100,2,1080000.0,300000.0
100000004358004100,100000003684369100,100000000998559100,2,133000.0,300000.0
100000005268319100,100000002957787100,100000006100920100,2,24000.0,300000.0
100000007982728100,100000008748408100,100000000861294100,2,360000.0,300000.0
100000008636603100,100000003016635100,100000004790991100,2,51700.0,295268.0
100000008304139100,100000003684369100,100000004480280100,2,142000.0,293388.0
100000008169544100,100000003016635100,100000006518161100,2,29600.0,289300.0
100000005910114100,100000008603629100,100000000661912100,2,98838.0,284896.0
100000008169544100,100000003016635100,100000004664905100,2,17300.0,281620.0
100000008304139100,100000008603629100,100000008279405100,2,87000.0,280742.0
100000007639767100,100000008603629100,100000003134934100,2,78250.0,280707.0
100000004351795100,100000000437046100,100000003204491100,2,113000.0,280000.0
100000004847758100,100000003684369100,100000008555918100,2,36000.0,278422.0
100000004358004100,100000003684369100,100000008747113100,2,133000.0,277773.0
100000008636603100,100000003016635100,100000004948177100,2,129600.0,277750.0
100000003528285100,100000003684369100,100000003205210100,2,123000.0,275126.0
100000004077081100,100000003684369100,100000003205210100,2,110000.0,275126.0
100000008293431100,100000000437046100,100000003834495100,2,215000.0,275000.0
100000008304139100,100000006866783100,100000005584222100,2,177000.0,272434.0
100000008304139100,100000003684369100,100000002864256100,2,142000.0,271560.0
100000008748914100,100000003684369100,100000001554432100,2,916000.0,269600.0
100000005910114100,100000006866783100,100000000945428100,2,75762.0,268887.0
100000005910114100,100000003684369100,100000000941942100,2,52603.0,260000.0
100000008304139100,100000006866783100,100000004299488100,2,95000.0,259000.0
100000005287097100,100000003016635100,100000002991079100,2,69000.0,258500.0
100000002963189100,100000005933757100,100000002633108100,2,1150000.0,251000.0
100000005910114100,100000003684369100,100000003366154100,2,52603.0,250000.0
100000008748914100,100000003684369100,100000001194266100,2,916000.0,250000.0
100000005910114100,100000008603629100,100000006734214100,2,98838.0,240000.0
100000001660397100,100000006866783100,100000004299488100,2,48000.0,237000.0
100000004847758100,100000003684369100,100000008556318100,2,36000.0,233264.0
100000005910114100,100000008603629100,100000008739887100,2,110799.0,229000.0
100000005287097100,100000003016635100,100000005539201100,2,84500.0,227520.0
100000004077081100,100000003684369100,100000003946524100,2,110000.0,227514.0
100000007593823100,100000008730846100,100000005475379100,2,20000.0,216740.0
100000008304139100,100000003684369100,100000001554432100,2,189000.0,215680.0
100000005910114100,100000007629096100,100000002741024100,2,145555.0,215170.0
100000005287097100,100000003016635100,100000006579678100,2,84500.0,214650.0
100000004351795100,100000000437046100,100000006894637100,2,172000.0,211324.0
100000004358004100,100000003684369100,100000005079754100,2,133000.0,210000.0
100000004847758100,100000003684369100,100000008566737100,2,41000.0,208000.0
100000008304139100,100000003684369100,100000008566737100,2,63000.0,208000.0
100000002267998100,100000003701161100,100000003718221100,2,250000.0,205000.0
100000003796063100,100000000331309100,100000004889043100,2,233200.0,200000.0
100000005910114100,100000002957787100,100000006100920100,2,45856.0,200000.0
100000008304139100,100000003684369100,100000000810551100,2,142000.0,200000.0
100000008304139100,100000003684369100,100000001194266100,2,189000.0,200000.0
100000008304139100,100000003684369100,100000003877908100,2,195000.0,200000.0
100000008736940100,100000008659445100,100000008751429100,2,77300.0,196700.0
100000004351795100,100000000437046100,100000005610717100,2,172000.0,195600.0
100000007982728100,100000008748408100,100000001848426100,2,360000.0,191060.0
100000004390333100,100000000437046100,100000007055802100,2,250000.0,190000.0
100000008304139100,100000003684369100,100000007274584100,2,195000.0,190000.0
100000008489922100,100000008517538100,100000001884825100,2,55500.0,190000.0
100000005578559100,100000005704413100,100000001276409100,2,36834.67,189520.0
100000005287097100,100000003016635100,100000004360785100,2,14000.0,189410.0
100000005910114100,100000006866783100,100000001609499100,2,63653.0,187874.0
100000004351795100,100000000437046100,100000005830339100,2,172000.0,187872.0
100000008304139100,100000008603629100,100000003134934100,2,87000.0,187138.0
100000007982728100,100000008748408100,100000002692750100,2,360000.0,185660.0
100000004847758100,100000008603629100,100000008739887100,2,64000.0,185000.0
100000005910114100,100000008603629100,100000002232266100,2,98838.0,180000.0
100000008304139100,100000006866783100,100000000945428100,2,59000.0,179258.0
100000005910114100,100000006866783100,100000001530983100,2,75762.0,176172.0
100000003718221100,100000003701161100,100000002267998100,2,85000.0,170000.0
100000003880331100,100000008603629100,100000005830339100,2,698000.0,165536.0
100000004351795100,100000000437046100,100000002681449100,2,113000.0,165476.0
100000004847758100,100000003684369100,100000001362940100,2,36000.0,162000.0
100000003880331100,100000003684369100,100000001554432100,2,282000.0,161760.0
100000004358004100,100000003684369100,100000001554432100,2,148000.0,161760.0
100000003616818100,100000004160650100,100000002731501100,2,35100.0,161570.0
100000004351795100,100000000437046100,100000006165886100,2,107000.0,160828.0
100000003796063100,100000006866783100,100000007055802100,2,67500.0,160000.0
100000008686313100,100000006866783100,100000007055802100,2,48100.0,160000.0
100000008748914100,100000003684369100,100000003877908100,2,574700.0,160000.0
100000003880331100,100000003684369100,100000003037660100,2,282000.0,159000.0
100000008304139100,100000003684369100,100000003037660100,2,196000.0,159000.0
100000005287097100,100000003016635100,100000008116374100,2,84500.0,156420.0
100000004351795100,100000000437046100,100000007055802100,2,188000.0,155000.0
100000008748914100,100000003684369100,100000007274584100,2,574700.0,152000.0
100000000274067100,100000002958343100,100000002872399100,2,400000.0,150000.0
100000003880331100,100000003684369100,100000001194266100,2,282000.0,150000.0
100000003880331100,100000003684369100,100000008628231100,2,282000.0,150000.0
100000004358004100,100000003684369100,100000001194266100,2,148000.0,150000.0
100000004358004100,100000003684369100,100000006446271100,2,133000.0,150000.0
100000005910114100,100000006866783100,100000004759121100,2,75762.0,150000.0
100000005910114100,100000006866783100,100000006687202100,2,75762.0,150000.0
100000007639767100,100000008603629100,100000003711830100,2,78250.0,150000.0
100000008304139100,100000003684369100,100000008628231100,2,196000.0,150000.0
100000008547844100,100000008547948100,100000008692291100,2,61000.0,150000.0
100000003616818100,100000004160650100,100000004007116100,2,91500.0,146650.0
100000008304139100,100000006866783100,100000008071620100,2,50000.0,140904.0
100000004847758100,100000003684369100,100000002666248100,2,41000.0,140064.0
100000008304139100,100000003684369100,100000002666248100,2,63000.0,140064.0
100000004077081100,100000003684369100,100000005079754100,2,110000.0,140000.0
100000007593823100,100000008730846100,100000000976943100,2,28000.0,140000.0
100000007982728100,100000008748408100,100000004698193100,2,360000.0,140000.0
100000008632060100,100000008730846100,100000000976943100,2,60600.0,140000.0
100000005910114100,100000003684369100,100000003284932100,2,52603.0,139850.0
100000008304139100,100000008603629100,100000004420041100,2,87000.0,139276.0
100000008489922100,100000008517538100,100000003157679100,2,55500.0,132000.0
100000008417359100,100000008512552100,100000003242289100,2,20760.0,131520.0
100000007639767100,100000008603629100,100000000661912100,2,73000.0,131224.0
100000005910114100,100000003684369100,100000001746925100,2,52603.0,130500.0
100000005287097100,100000003016635100,100000004741837100,2,84500.0,127980.0
100000005339662100,100000004820260100,100000005175148100,2,107800.0,122000.0
100000008636603100,100000003016635100,100000006518161100,2,77900.0,121400.0
100000008304139100,100000006866783100,100000004679953100,2,50000.0,120009.0
100000004351795100,100000008731444100,100000003528285100,2,245000.0,120000.0
100000004358004100,100000003684369100,100000003877908100,2,133000.0,120000.0
100000007982728100,100000008748408100,100000008765627100,2,360000.0,120000.0
100000008636603100,100000003016635100,100000001805543100,2,43200.0,118000.0
100000008304139100,100000006866783100,100000001530983100,2,59000.0,117448.0
100000004847758100,100000003684369100,100000003739818100,2,41000.0,114586.0
100000004358004100,100000003684369100,100000007274584100,2,133000.0,114000.0
100000003796063100,100000000331309100,100000006126743100,2,233200.0,110000.0
100000005910114100,100000003684369100,100000008438656100,2,52603.0,110000.0
100000007982728100,100000008748408100,100000008008463100,2,360000.0,108360.0
100000003528285100,100000003684369100,100000001554432100,2,123000.0,107840.0
100000004077081100,100000003684369100,100000001554432100,2,110000.0,107840.0
100000003528285100,100000003684369100,100000003037660100,2,123000.0,106000.0
100000008632060100,100000000437046100,100000006894637100,2,67500.0,105662.0
100000005578559100,100000005704413100,100000007510567100,2,36834.67,104000.0
100000008512552100,100000003242289100,100000008043184100,2,190300.0,101128.0
100000000031787100,100000000267734100,100000002842337100,2,40000.0,100000.0
100000002963189100,100000005933757100,100000004500444100,2,1880000.0,100000.0
100000003528285100,100000003684369100,100000001194266100,2,123000.0,100000.0
100000003528285100,100000003684369100,100000008628231100,2,123000.0,100000.0
100000004077081100,100000003684369100,100000001194266100,2,110000.0,100000.0
100000004077081100,100000003684369100,100000006446271100,2,110000.0,100000.0
100000004160650100,100000002731501100,100000008774237100,2,50000.0,100000.0
100000004209339100,100000003635170100,100000003321423100,2,75000.0,100000.0
100000004390333100,100000005612411100,100000001102676100,2,36500.0,100000.0
100000005287097100,100000004156082100,100000006518161100,2,50500.0,100000.0
100000005578559100,100000005704413100,100000002870463100,2,36834.67,100000.0
100000005910114100,100000002957787100,100000008137435100,2,45856.0,100000.0
100000005910114100,100000008603629100,100000000795374100,2,77718.0,100000.0
100000008258083100,100000000673868100,100000007442518100,2,1275000.0,100000.0
100000008304139100,100000006866783100,100000004759121100,2,59000.0,100000.0
100000008304139100,100000006866783100,100000006687202100,2,59000.0,100000.0
100000008304139100,100000008603629100,100000000288317100,2,87000.0,100000.0
100000008304139100,100000008603629100,100000003711830100,2,87000.0,100000.0
100000003016635100,100000004330371100,100000006534886100,2,133026.0,99200.0
100000005048668100,100000008603629100,100000005830339100,2,135000.0,97838.0
100000008632060100,100000000437046100,100000005610717100,2,67500.0,97800.0
100000004847758100,100000003684369100,100000005124479100,2,41000.0,97612.0
100000008304139100,100000003684369100,100000005124479100,2,63000.0,97612.0
100000005910114100,100000006866783100,100000000011452100,2,76302.0,95000.0
100000004479404100,100000004717647100,100000004584730100,2,300000.0,94000.0
100000005910114100,100000006866783100,100000002645609100,2,63653.0,93974.0
100000008512552100,100000003242289100,100000002301828100,2,190300.0,93954.0
100000003796063100,100000006866783100,100000008071620100,2,67500.0,93936.0
100000005910114100,100000003684369100,100000002847207100,2,52603.0,92486.0
100000003988112100,100000004403675100,100000003823811100,2,30000.0,90000.0
100000005287097100,100000003016635100,100000002861485100,2,18000.0,87969.0
100000008603629100,100000000661912100,100000003131016100,2,172448.0,87000.0
100000005910114100,100000008603629100,100000003582677100,2,98838.0,86608.0
100000008686313100,100000008603629100,100000003366471100,2,55500.0,86515.0
100000001049200100,100000004156082100,100000000076451100,2,21000.0,85414.0
100000004070318100,100000002398779100,100000008576243100,2,123136.0,83000.0
100000005578559100,100000005704413100,100000004890713100,2,36834.67,80970.0
100000003796063100,100000006866783100,100000004679953100,2,67500.0,80006.0
100000004847758100,100000003684369100,100000004509286100,2,41000.0,80000.0
100000008304139100,100000003684369100,100000004509286100,2,63000.0,80000.0
100000005910114100,100000006866783100,100000008686234100,2,63653.0,79556.0
100000005287097100,100000003016635100,100000003713616100,2,84500.0,79465.0
100000005910114100,100000006866783100,100000004071080100,2,125672.0,78000.0
100000008304139100,100000003684369100,100000007311010100,2,142000.0,76000.0
100000003880331100,100000003684369100,100000004315838100,2,282000.0,75000.0
100000003880331100,100000003684369100,100000008664469100,2,282000.0,75000.0
100000004160650100,100000004007116100,100000003616818100,2,207544.0,75000.0
100000005910114100,100000008603629100,100000005140601100,2,83070.0,75000.0
100000008304139100,100000003684369100,100000004315838100,2,196000.0,75000.0
100000008304139100,100000003684369100,100000008664469100,2,196000.0,75000.0
100000003796063100,100000006866783100,100000008686313100,2,67500.0,74660.0
100000005910114100,100000006866783100,100000008443341100,2,75762.0,73500.0
100000008659445100,100000008751429100,100000008736940100,2,175000.0,72600.0
100000003796063100,100000008165763100,100000002679516100,2,45200.0,72100.0
100000004847758100,100000003684369100,100000001924185100,2,41000.0,72000.0
100000008636603100,100000003016635100,100000000440392100,2,77900.0,71400.0
100000005268319100,100000002957787100,100000001160401100,2,24000.0,70910.0
100000008304139100,100000006866783100,100000003873332100,2,50000.0,70404.0
100000004351795100,100000000437046100,100000004299488100,2,113000.0,70000.0
100000000031787100,100000000267734100,100000001601320100,2,40000.0,68000.0
100000008304139100,100000008603629100,100000008503177100,2,87000.0,67902.0
100000005910114100,100000008603629100,100000004975919100,2,83070.0,67053.0
100000008304139100,100000006866783100,100000004071080100,2,90000.0,67000.0
100000000437046100,100000005610717100,100000008469048100,2,95600.0,63800.0
100000005578559100,100000005704413100,100000002702968100,2,36834.67,63200.0
100000005287097100,100000003016635100,100000001684867100,2,12000.0,61100.0
100000008304139100,100000006866783100,100000008221543100,2,50000.0,60000.0
100000005287097100,100000003016635100,100000007511163100,2,94000.0,58664.0
100000004400305100,100000008686313100,100000008603629100,2,82417.0,57000.0
100000005910114100,100000006866783100,100000004847758100,2,90585.0,56325.0
100000008636603100,100000003016635100,100000000667713100,2,77900.0,56195.0
100000008636603100,100000003016635100,100000007641183100,2,43200.0,56000.0
100000004351795100,100000002398779100,100000008576243100,2,151200.0,55000.0
100000008304139100,100000006866783100,100000000011452100,2,50000.0,55000.0
100000008086440100,100000008603629100,100000005830339100,2,63900.0,52570.0
100000000437046100,100000008686313100,100000008477350100,2,551518.0,51600.0
100000004400305100,100000008686313100,100000008477350100,2,82417.0,51600.0
100000003528285100,100000003684369100,100000004315838100,2,123000.0,50000.0
100000003528285100,100000003684369100,100000008664469100,2,123000.0,50000.0
100000003888271100,100000000580561100,100000005183943100,2,18680.0,50000.0
100000004847758100,100000003684369100,100000004004621100,2,36000.0,50000.0
100000004847758100,100000003684369100,100000007129492100,2,41000.0,50000.0
100000004847758100,100000008603629100,100000005140601100,2,42000.0,50000.0
100000005910114100,100000003684369100,100000005133757100,2,52603.0,50000.0
100000008512552100,100000003242289100,100000004140487100,2,190300.0,49020.0
100000008304139100,100000006866783100,100000008443341100,2,59000.0,49000.0
100000004715209100,100000008603331100,100000002646887100,2,11500.0,48708.0
100000005287097100,100000004156082100,100000007281639100,2,50500.0,47940.0
100000005910114100,100000002957787100,100000001160401100,2,45856.0,47190.0
100000005578559100,100000005704413100,100000001484381100,2,36834.67,47000.0
100000003796063100,100000006866783100,100000003873332100,2,67500.0,46936.0
100000003016635100,100000006518161100,100000003039473100,2,82500.0,46000.0
100000005287097100,100000003016635100,100000006658598100,2,26500.0,45000.0
100000004847758100,100000008603629100,100000004975919100,2,42000.0,44702.0
100000005287097100,100000003016635100,100000004206046100,2,94000.0,44300.0
100000005041905100,100000002578405100,100000008687617100,2,518328.0,43350.0
100000000437046100,100000003834495100,100000008730371100,2,127441.0,40000.0
100000003796063100,100000006866783100,100000008221543100,2,67500.0,40000.0
